NO_OF_FRAMES	5000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-09-17, 16:37:20.571	428377.36681510
DATA_INCLUDED	3D
MARKER_NAMES	1	2
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	1 X	1 Y	1 Z	2 X	2 Y	2 Z	
1	0.00000	301.024	-0.174	403.757	0.000	0.000	0.000
2	0.00200	300.999	-0.168	403.744	0.000	0.000	0.000
3	0.00400	300.983	-0.182	403.744	0.000	0.000	0.000
4	0.00600	300.950	-0.169	403.743	0.000	0.000	0.000
5	0.00800	300.933	-0.170	403.742	0.000	0.000	0.000
6	0.01000	300.909	-0.177	403.755	0.000	0.000	0.000
7	0.01200	300.884	-0.171	403.742	0.000	0.000	0.000
8	0.01400	300.868	-0.178	403.742	0.000	0.000	0.000
9	0.01600	300.843	-0.171	403.754	0.000	0.000	0.000
10	0.01800	300.818	-0.172	403.741	0.000	0.000	0.000
11	0.02000	300.786	-0.173	403.741	0.000	0.000	0.000
12	0.02200	300.761	-0.180	403.729	0.000	0.000	0.000
13	0.02400	300.720	-0.174	403.716	0.000	0.000	0.000
14	0.02600	300.704	-0.181	403.716	0.000	0.000	0.000
15	0.02800	300.663	-0.189	403.727	0.000	0.000	0.000
16	0.03000	300.638	-0.183	403.714	0.000	0.000	0.000
17	0.03200	300.597	-0.197	403.726	0.000	0.000	0.000
18	0.03400	300.573	-0.198	403.713	0.000	0.000	0.000
19	0.03600	300.548	-0.198	403.725	0.000	0.000	0.000
20	0.03800	300.523	-0.198	403.736	0.000	0.000	0.000
21	0.04000	300.490	-0.206	403.735	0.000	0.000	0.000
22	0.04200	300.466	-0.213	403.722	0.000	0.000	0.000
23	0.04400	300.433	-0.214	403.746	0.000	0.000	0.000
24	0.04600	300.400	-0.221	403.745	0.000	0.000	0.000
25	0.04800	300.375	-0.222	403.756	0.000	0.000	0.000
26	0.05000	300.351	-0.222	403.743	0.000	0.000	0.000
27	0.05200	300.309	-0.230	403.755	0.000	0.000	0.000
28	0.05400	300.293	-0.230	403.754	0.000	0.000	0.000
29	0.05600	300.260	-0.231	403.754	0.000	0.000	0.000
30	0.05800	300.228	-0.245	403.753	0.000	0.000	0.000
31	0.06000	300.195	-0.239	403.752	0.000	0.000	0.000
32	0.06200	300.178	-0.239	403.752	0.000	0.000	0.000
33	0.06400	300.145	-0.233	403.752	0.000	0.000	0.000
34	0.06600	300.112	-0.240	403.751	0.000	0.000	0.000
35	0.06800	300.088	-0.248	403.738	0.000	0.000	0.000
36	0.07000	300.063	-0.235	403.725	0.000	0.000	0.000
37	0.07200	300.038	-0.235	403.737	0.000	0.000	0.000
38	0.07400	300.014	-0.236	403.724	0.000	0.000	0.000
39	0.07600	299.989	-0.236	403.735	0.000	0.000	0.000
40	0.07800	299.964	-0.230	403.723	0.000	0.000	0.000
41	0.08000	299.948	-0.230	403.722	0.000	0.000	0.000
42	0.08200	299.915	-0.231	403.722	0.000	0.000	0.000
43	0.08400	299.898	-0.217	403.720	0.000	0.000	0.000
44	0.08600	299.881	-0.211	403.720	0.000	0.000	0.000
45	0.08800	299.857	-0.218	403.732	0.000	0.000	0.000
46	0.09000	299.832	-0.205	403.719	0.000	0.000	0.000
47	0.09200	299.815	-0.198	403.719	0.000	0.000	0.000
48	0.09400	299.790	-0.199	403.731	0.000	0.000	0.000
49	0.09600	299.758	-0.193	403.706	0.000	0.000	0.000
50	0.09800	299.741	-0.193	403.730	0.000	0.000	0.000
51	0.10000	299.708	-0.187	403.730	0.000	0.000	0.000
52	0.10200	299.683	-0.187	403.717	0.000	0.000	0.000
53	0.10400	299.650	-0.188	403.716	0.000	0.000	0.000
54	0.10600	299.609	-0.189	403.728	0.000	0.000	0.000
55	0.10800	299.568	-0.190	403.715	0.000	0.000	0.000
56	0.11000	299.543	-0.190	403.726	0.000	0.000	0.000
57	0.11200	299.510	-0.177	403.725	0.000	0.000	0.000
58	0.11400	299.477	-0.184	403.725	0.000	0.000	0.000
59	0.11600	299.436	-0.185	403.736	0.000	0.000	0.000
60	0.11800	299.403	-0.193	403.735	0.000	0.000	0.000
61	0.12000	299.378	-0.173	403.747	0.000	0.000	0.000
62	0.12200	299.345	-0.187	403.746	0.000	0.000	0.000
63	0.12400	299.304	-0.181	403.757	0.000	0.000	0.000
64	0.12600	299.279	-0.181	403.769	0.000	0.000	0.000
65	0.12800	299.246	-0.175	403.768	0.000	0.000	0.000
66	0.13000	299.213	-0.169	403.767	0.000	0.000	0.000
67	0.13200	299.188	-0.162	403.754	0.000	0.000	0.000
68	0.13400	299.155	-0.156	403.753	0.000	0.000	0.000
69	0.13600	299.121	-0.136	403.777	0.000	0.000	0.000
70	0.13800	299.088	-0.116	403.751	0.000	0.000	0.000
71	0.14000	299.071	-0.110	403.751	0.000	0.000	0.000
72	0.14200	299.046	-0.103	403.737	0.000	0.000	0.000
73	0.14400	299.013	-0.097	403.736	0.000	0.000	0.000
74	0.14600	298.989	-0.091	403.724	0.000	0.000	0.000
75	0.14800	298.964	-0.085	403.735	0.000	0.000	0.000
